"isxn"	"titulo17"	"q17"
"07694563"	"ELA- ETUDES LITTERAIRES AFRICAINES"	"B1"
"15331296"	"ELECTION LAW JOURNAL"	"B2"
"12861146"	"ELECTRA (PARIS. 1967)"	"B1"
"15325008"	"ELECTRIC POWER COMPONENTS AND SYSTEMS"	"A3"
"03787796"	"ELECTRIC POWER SYSTEMS RESEARCH (PRINT)"	"A2"
"09487921"	"ELECTRICAL ENGINEERING (BERLIN. PRINT)"	"A3"
"15214109"	"ELECTROANALYSIS"	"A3"
"18682529"	"ELECTROCATALYSIS (PRINT)"	"A4"
"13882481"	"ELECTROCHEMISTRY COMMUNICATIONS"	"A1"
"00134686"	"ELECTROCHIMICA ACTA"	"A1"
"19357524"	"ELECTRON J STAT"	"A2"
"15674223"	"ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS"	"A1"
"1083589X"	"ELECTRONIC COMMUNICATIONS IN PROBABILITY"	"A4"
"17407494"	"ELECTRONIC GOVERNMENT"	"A2"
"20705948"	"ELECTRONIC JOURNAL OF APPLIED STATISTICAL ANALYSIS"	"B4"
"07173458"	"ELECTRONIC JOURNAL OF BIOTECHNOLOGY"	"A4"
"10726691"	"ELECTRONIC JOURNAL OF DIFFERENTIAL EQUATIONS"	"B1"
"1479439X"	"ELECTRONIC JOURNAL OF E-GOVERNMENT"	"B1"
"15657396"	"ELECTRONIC JOURNAL OF ICHTHYOLOGY"	"C"
"10836489"	"ELECTRONIC JOURNAL OF PROBABILITY"	"A2"
"14173875"	"ELECTRONIC JOURNAL ON THE QUALITATIVE THEORY OF DIFFERENTIAL EQUATIONS"	"B1"
"15775097"	"ELECTRONIC LETTERS ON COMPUTER VISION AND IMAGE ANALYSIS"	"B4"
"02640473"	"ELECTRONIC LIBRARY"	"A3"
"17388090"	"ELECTRONIC MATERIALS LETTERS"	"A3"
"15710653"	"ELECTRONIC NOTES IN DISCRETE MATHEMATICS"	"B3"
"15710661"	"ELECTRONIC NOTES IN THEORETICAL COMPUTER SCIENCE"	"B1"
"20752180"	"ELECTRONIC PROCEEDINGS IN THEORETICAL COMPUTER SCIENCE"	"B2"
"19359179"	"ELECTRONIC RESEARCH ANNOUNCEMENTS IN MATHEMATICAL SCIENCES (ONLINE)"	"B1"
"20799292"	"ELECTRONICS"	"A2"
"00135194"	"ELECTRONICS LETTERS"	"A3"
"01730835"	"ELECTROPHORESIS (WEINHEIM. PRINT)"	"A3"
"23917407"	"ELECTROSPINNING"	"C"
"21750688"	"E-LEGIS"	"A3"
"13000632"	"ELEKTRIK"	"B1"
"23251026"	"ELEMENTA: SCIENCE OF THE ANTHROPOCENE"	"A1"
"01002104"	"ELETRICIDADE MODERNA"	"NP"
"18061877"	"ELETROEVOLUÇÃO (RIO DE JANEIRO)"	"NP"
"20114532"	"ELEUTHERA"	"C"
"25271393"	"ELEUTHERÍA"	"B1"
"2050084X"	"ELIFE"	"A1"
"23164360"	"ÉLISÉE - REVISTA DE GEOGRAFIA DA UEG"	"B1"
"2229712X"	"ELIXIR INTERNATIONAL JOURNAL"	"C"
"23867620"	"ELOS. REVISTA DE LITERATURA INFANTIL E XUVENIL"	"B3"
"09223444"	"ELSEVIER (AMSTERDAM)"	"C"
"09510893"	"ELT JOURNAL"	"A2"
"21828954"	"ELYRA: REVISTA DA REDE INTERNACIONAL LYRACOMPOETICS"	"A4"
"01041037"	"EM ABERTO"	"A4"
"25265792"	"EM CONSTRUÇÃO"	"B2"
"23595841"	"EM CURSO"	"B4"
"21764883"	"EM DEBATE (BELO HORIZONTE)"	"B3"
"19803532"	"EM DEBATE (UFSC. ONLINE)"	"C"
"15186369"	"EM EXTENSÃO (UFU. IMPRESSO)"	"C"
"18065864"	"EM FOCO (SANTARÉM)"	"C"
"22383786"	"EM PAUTA: REVISTA DE FORMAÇÃO PARA PROFISSIONAIS DA EDUCAÇÃO"	"A2"
"24480789"	"EM PERSPECTIVA"	"B3"
"18078893"	"EM QUESTÃO (UFRGS. IMPRESSO)"	"A3"
"25957716"	"EM SOCIEDADE"	"B4"
"21779309"	"EM TEIA - REVISTA DE EDUCAÇÃO MATEMÁTICA E TECNOLÓGICA IBEROAMERICANA"	"B1"
"15168964"	"EM TEMPO (MARÍLIA. IMPRESSO)"	"B1"
"15171108"	"EM TEMPO DE HISTÓRIAS"	"A4"
"19820739"	"EM TESE (BELO HORIZONTE. ONLINE)"	"A4"
"18065023"	"EM TESE (FLORIANÓPOLIS)"	"B3"
"19827814"	"EMANCIPAÇÃO (ONLINE) (PONTA GROSSA)"	"A4"
"22384251"	"EMBLEMAS (ONLINE)"	"B4"
"18087914"	"EMBLEMAS (UFG. CATALÃO)"	"B4"
"02614189"	"EMBO JOURNAL (PRINT)"	"A1"
"17574676"	"EMBO MOLECULAR MEDICINE"	"A1"
"1469221X"	"EMBO REPORTS (PRINT)"	"A1"
"19803982"	"EMBRAPA FLORESTAS. COMUNICADO TÉCNICO"	"C"
"23591854"	"EMBRAPA PESCA E AQUICULTURA. CIRCULAR TÉCNICA."	"NP"
"23189703"	"EMECÊ. BOLETIM DO NÚCLEO DE PESQUISA MARQUES DA COSTA"	"NP"
"20502060"	"EMERALD: STUDIES IN MEDIA AND COMMUNICATION"	"B2"
"14720205"	"EMERGENCY MEDICINE JOURNAL (PRINT)"	"A2"
"21657548"	"EMERGENCY MEDICINE: OPEN ACCESS"	"C"
"10703004"	"EMERGENCY RADIOLOGY (PRINT)"	"A3"
"2395664X"	"EMERGENT LIFE SCIENCES RESEARCH (PRINT)"	"C"
"10806059"	"EMERGING INFECTIOUS DISEASES (ONLINE)"	"A1"
"10806040"	"EMERGING INFECTIOUS DISEASES (PRINT)"	"A1"
"20450621"	"EMERGING MARKETS CASE STUDIES COLLECTION"	"B3"
"1540496X"	"EMERGING MARKETS FINANCE & TRADE"	"A2"
"21588708"	"EMERGING MARKETS JOURNAL (ONLINE)"	"B3"
"15660141"	"EMERGING MARKETS REVIEW"	"A2"
"22221751"	"EMERGING MICROBES & INFECTIONS (ONLINE)"	"A1"
"26109182"	"EMERGING SCIENCE JOURNAL"	"C"
"17427622"	"EMERGING THEMES IN EPIDEMIOLOGY"	"B1"
"23978562"	"EMERGING TOPICS IN LIFE SCIENCES (ONLINE)"	"C"
"21772312"	"E-METROPOLIS: REVISTA ELETRÔNICA DE ESTUDOS URBANOS E REGIONAIS"	"B2"
"2079052X"	"EMIRATES JOURNAL OF FOOD AND AGRICULTURE"	"B1"
"20790538"	"EMIRATES JOURNAL OF FOOD AND AGRICULTURE (ONLINE)"	"B1"
"00001234"	"E-MOSAICOS"	"B3"
"23169303"	"E-MOSAICOS REVISTA MULTIDISCIPLINAR DE ENSINO, PESQUISA, EXTENSÃO E CULTURA DO INSTITUTO DE APLICAÇÃO FERNANDO RODRIGUES DA SILVEIRA (CAP-UERJ)"	"A3"
"11523336"	"EMPAN (TOULOUSE)"	"B4"
"03777332"	"EMPIRICAL ECONOMICS"	"A1"
"13823256"	"EMPIRICAL SOFTWARE ENGINEERING"	"A1"
"01425455"	"EMPLOYEE RELATIONS"	"A2"
"24467405"	"EMPORIO DO DIREITO"	"C"
"22380515"	"EMPREENDEDORISMO, GESTÃO E NEGÓCIOS REVISTA DO CURSO DE ADMINISTRAÇÃO"	"B3"
"25305603"	"EMPRENDIMIENTO Y NEGOCIOS INTERNACIONALES"	"B3"
"01584197"	"EMU (MELBOURNE. PRINT)"	"A3"
"21772576"	"ENANPAD - ENCONTRO DA ANPAD"	"NP"
"22378448"	"ENCONTRO BRASILEIRO DE ESTUDANTES DE PÓS-GRADUAÇÃO EM EDUCAÇÃO MATEMÁTICA"	"A3"
"23188316"	"ENCONTRO DE DEBATES SOBRE O ENSINO DE QUÍMICA"	"C"
"21758875"	"ENCONTRO NACIONAL DA ANPEGE"	"NP"
"25958852"	"ENCONTRO NACIONAL DE DIDÁTICA E PRÁTICAS DE ENSINO (ONLINE)"	"C"
"23165219"	"ENCONTRO NACIONAL DE HISTÓRIA ORAL"	"NP"
"15182924"	"ENCONTROS BIBLI (ONLINE)"	"A2"
"13465058"	"ENCONTROS LUSÓFONOS"	"B4"
"2525846X"	"ENCONTROS TEOLÓGICOS"	"A4"
"23142499"	"ENCUENTRO DE SABERES: LUCHAS POPULARES, RESISTENCIAS Y EDUCACIÓN"	"C"
"24146625"	"ENCUENTRO LATINOAMERICANO ELA"	"B3"
"11399325"	"ENCUENTROS MULTIDISCIPLINARES (UNIVERSIDAD AUTÓNOMA DE MADRID)"	"C"
"14769506"	"ENCYCLOPEDIA OF LIFE SCIENCES (ONLINE)"	"NP"
"16134796"	"ENDANGERED SPECIES RESEARCH"	"A2"
"17532809"	"ENDO (NEW MALDEN. PRINT)"	"NP"
"1355008X"	"ENDOCRINE (BASINGSTOKE)"	"A3"
"14796848"	"ENDOCRINE ABSTRACTS (ONLINE)"	"C"
"20493614"	"ENDOCRINE CONNECTIONS"	"A3"
"09188959"	"ENDOCRINE JOURNAL (TOKYO)"	"B1"
"10463976"	"ENDOCRINE PATHOLOGY"	"A3"
"1530891X"	"ENDOCRINE PRACTICE"	"A3"
"12100668"	"ENDOCRINE REGULATIONS (PRINT)"	"B2"
"07435800"	"ENDOCRINE RESEARCH"	"B3"
"0163769X"	"ENDOCRINE REVIEWS"	"A1"
"18715303"	"ENDOCRINE, METABOLIC AND IMMUNE DISORDERS. DRUG TARGETS"	"A4"
"13510088"	"ENDOCRINE-RELATED CANCER"	"A1"
"15176932"	"ENDOCRINOLOGIA & DIABETES CLÍNICA E EXPERIMENTAL"	"C"
"21611017"	"ENDOCRINOLOGY & METABOLIC SYNDROME"	"C"
"24730815"	"ENDOCRINOLOGY & METABOLISM INTERNATIONAL JOURNAL"	"C"
"00137227"	"ENDOCRINOLOGY (PHILADELPHIA)"	"A2"
"08898529"	"ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA (PRINT)"	"A3"
"25732188"	"ENDOCRINOLOGY AND THYROID RESEARCH"	"C"
"22365931"	"ENDOCRINOLOGY PRIME"	"C"
"20520573"	"ENDOCRINOLOGY, DIABETES & METABOLISM CASE REPORTS"	"B1"
"14659417"	"ENDODONTIC PRACTICE"	"C"
"22267190"	"ENDOSCOPIC ULTRASOUND"	"A2"
"0013726X"	"ENDOSCOPY (STUTTGART)"	"A1"
"21969736"	"ENDOSCOPY INTERNATIONAL OPEN"	"B4"
"18088759"	"ENERGIA NA AGRICULTURA"	"B4"
"23596562"	"ENERGIA NA AGRICULTURA"	"B4"
"0328932X"	"ENERGÍAS RENOVABLES Y MEDIO AMBIENTE"	"C"
"24266760"	"ÉNERGIE-ENVIRONNEMENT-INFRASTRUCTURES (IMPRESSO)"	"C"
"19961073"	"ENERGIES (BASEL)"	"A1"
"0958305X"	"ENERGY & ENVIRONMENT (BRENTWOOD)"	"B1"
"08870624"	"ENERGY & FUELS (PRINT)"	"A1"
"03605442"	"ENERGY (OXFORD)"	"A1"
"03787788"	"ENERGY AND BUILDINGS"	"A1"
"23316330"	"ENERGY AND ENVIRONMENTAL ENGINEERING"	"B4"
"19473818"	"ENERGY AND POWER ENGINEERING"	"C"
"1949243X"	"ENERGY AND POWER ENGINEERING"	"C"
"01968904"	"ENERGY CONVERSION AND MANAGEMENT"	"A1"
"01409883"	"ENERGY ECONOMICS"	"A1"
"15706478"	"ENERGY EFFICIENCY (ONLINE)"	"A2"
"1570646X"	"ENERGY EFFICIENCY (PRINT)"	"A2"
"01445987"	"ENERGY EXPLORATION & EXPLOITATION"	"A3"
"03014215"	"ENERGY POLICY"	"A1"
"18766102"	"ENERGY PROCEDIA"	"A3"
"22146296"	"ENERGY RESEARCH & SOCIAL SCIENCE"	"A1"
"15567230"	"ENERGY SOURCES, PART A: RECOVERY, UTILIZATION, AND ENVIRONMENTAL EFFECTS"	"B2"
"15567036"	"ENERGY SOURCES. PART A, RECOVERY, UTILIZATION, AND ENVIRONMENTAL EFFECTS"	"B2"
"15567249"	"ENERGY SOURCES. PART B, ECONOMICS, PLANNING, AND POLICY"	"A4"
"2211467X"	"ENERGY STRATEGY REVIEWS"	"A3"
"09730826"	"ENERGY SUSTAINABLE DEVELOPMENT"	"A1"
"18683975"	"ENERGY SYSTEMS"	"A3"
"21944296"	"ENERGY TECHNOLOGY"	"A2"
"23638338"	"ENERGY, ECOLOGY AND ENVIRONMENT (ONLINE)"	"C"
"23637692"	"ENERGY, ECOLOGY AND ENVIRONMENT (PRINT)"	"C"
"21920567"	"ENERGY, SUSTAINABILITY AND SOCIETY"	"A2"
"26028042"	"ENERLAC"	"B4"
"26312522"	"ENERLAC (ONLINE)"	"B4"
"23732822"	"ENEURO (ONLINE)"	"A4"
"24056502"	"ENEUROLOGICALSCI"	"B3"
"1519339X"	"ENFERMAGEM ATUAL"	"B4"
"24472034"	"ENFERMAGEM ATUAL"	"B4"
"16782410"	"ENFERMAGEM BRASIL"	"B4"
"21774285"	"ENFERMAGEM EM FOCO"	"B1"
"23584661"	"ENFERMAGEM OBSTÉTRICA"	"C"
"01044419"	"ENFERMAGEM REVISTA"	"B4"
"22387218"	"ENFERMAGEM REVISTA (ONLINE)"	"B4"
"0213005X"	"ENFERMEDADES INFECCIOSAS Y MICROBIOLOGÍA CLÍNICA (ED. IMPRESA)"	"B3"
"16888375"	"ENFERMERÍA"	"B1"
"14094568"	"ENFERMERÍA ACTUAL DE COSTA RICA"	"B2"
"16990641"	"ENFERMERÍA COMUNITARIA (INTERNET)"	"B4"
"16956141"	"ENFERMERÍA GLOBAL"	"B3"
"23958421"	"ENFERMERÍA UNIVERSITARIA (ONLINE)"	"B1"
"13906542"	"ENFOQUE UTE"	"C"
"15179087"	"ENFOQUE: REFLEXÃO CONTÁBIL (IMPRESSO)"	"A3"
"0103992X"	"ENGENHARIA (FORTALEZA)"	"NP"
"01006916"	"ENGENHARIA AGRÍCOLA (IMPRESSO)"	"B2"
"18090664"	"ENGENHARIA AMBIENTAL (ONLINE)"	"C"
"18062067"	"ENGENHARIA AUTOMOTIVA E AEROESPACIAL"	"C"
"08731152"	"ENGENHARIA CIVIL UM (BRAGA)"	"C"
"14153025"	"ENGENHARIA ESTUDO E PESQUISA"	"B4"
"2316591X"	"ENGENHARIA ESTUDO E PESQUISA"	"B4"
"21756813"	"ENGENHARIA NA AGRICULTURA (ONLINE)"	"B4"
"14134152"	"ENGENHARIA SANITÁRIA E AMBIENTAL"	"A3"
"16761790"	"ENGENHARIA TÉRMICA"	"B4"
"23176717"	"ENGEVISTA - REVISTA DA ESCOLA DE ENGENHARIA DA UFF"	"C"
"14157314"	"ENGEVISTA (UFF)"	"C"
"19473931"	"ENGINEERING"	"C"
"09557997"	"ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS"	"A1"
"25751468"	"ENGINEERING AND APPLIED SCIENCES"	"C"
"09521976"	"ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE"	"A1"
"19942060"	"ENGINEERING APPLICATIONS OF COMPUTATIONAL FLUID MECHANICS"	"A2"
"02644401"	"ENGINEERING COMPUTATIONS"	"A3"
"09699988"	"ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT (PRINT)"	"A1"
"13506307"	"ENGINEERING FAILURE ANALYSIS"	"A1"
"00137944"	"ENGINEERING FRACTURE MECHANICS"	"A2"
"00137952"	"ENGINEERING GEOLOGY"	"A1"
"18818366"	"ENGINEERING IN AGRICULTURE, ENVIRONMENT AND FOOD"	"A4"
"16180240"	"ENGINEERING IN LIFE SCIENCES (PRINT)"	"A4"
"01258281"	"ENGINEERING JOURNAL"	"A4"
"10429247"	"ENGINEERING MANAGEMENT JOURNAL"	"A4"
"19277326"	"ENGINEERING MANAGEMENT RESEARCH (ONLINE)"	"C"
"0305215X"	"ENGINEERING OPTIMIZATION (PRINT)"	"A2"
"21797625"	"ENGINEERING RESEARCH"	"C"
"23183055"	"ENGINEERING SCIENCES"	"C"
"01410296"	"ENGINEERING STRUCTURES"	"A1"
"01770667"	"ENGINEERING WITH COMPUTERS"	"A2"
"14355663"	"ENGINEERING WITH COMPUTERS (INTERNET)"	"A2"
"16823257"	"ENGLISH FOR SPECIFIC PURPOSES WORLD"	"B3"
"19164750"	"ENGLISH LANGUAGE TEACHING"	"B1"
"02660784"	"ENGLISH TODAY (CAMBRIDGE)"	"A4"
"1852690X"	"ENIGMAS DEL CUERPO"	"C"
"23795832"	"ENLIVEN: CLINICAL DERMATOLOGY"	"C"
"23785438"	"ENLIVEN: JOURNAL OF DIETETICS RESEARCH AND NUTRITION"	"C"
"0211402X"	"ENRAHONAR (BELLATERRA)"	"B1"
"24477729"	"ENSAIA - REVISTA DE DRAMATURGIA, PERFORMANCE E ESCRITAS MÚLTIPLAS"	"C"
"18094465"	"ENSAIO - AVALIAÇÃO E POLÍTICAS PÚBLICAS EM EDUCAÇÃO"	"A1"
"19832117"	"ENSAIO: PESQUISA EM EDUCAÇÃO EM CIÊNCIAS (ONLINE)"	"A2"
"1983635X"	"ENSAIOS & DIÁLOGOS"	"C"
"14148854"	"ENSAIOS DE HISTÓRIA (FRANCA)"	"B4"
"14156938"	"ENSAIOS E CIÊNCIA: CIÊNCIAS BIOLÓGICAS, AGRÁRIAS E DA SAÚDE"	"B1"
"2178695X"	"ENSAIOS E CIÊNCIA: CIÊNCIAS BIOLÓGICAS, AGRÁRIAS E DA SAÚDE"	"B1"
"01011723"	"ENSAIOS FEE (IMPRESSO)"	"A4"
"21751773"	"ENSAIOS PEDAGÓGICOS (CURITIBA)"	"C"
"2527158X"	"ENSAIOS PEDAGÓGICOS (SOROCABA)"	"B4"
"02124521"	"ENSEÑANZA DE LAS CIENCIAS"	"A1"
"21746486"	"ENSEÑANZA DE LAS CIENCIAS (ONLINE)"	"A1"
"11329157"	"ENSEÑANZA DE LAS CIENCIAS DE LA TIERRA"	"A1"
"24475777"	"ENSINO & MULTIDISCIPLINARIDADE"	"B3"
"16761030"	"ENSINO & PESQUISA"	"A4"
"23584122"	"ENSINO DA MATEMÁTICA EM DEBATE"	"A3"
"22374450"	"ENSINO DE CIÊNCIAS E TECNOLOGIA EM REVISTA"	"A3"
"23179961"	"ENSINO DE SOCIOLOGIA EM DEBATE"	"B4"
"25943901"	"ENSINO E TECNOLOGIA EM REVISTA"	"C"
"25950479"	"ENSINO EM FOCO (ONLINE)"	"B4"
"01043757"	"ENSINO EM RE-VISTA (UFU. IMPRESSO)"	"A3"
"19837011"	"ENSINO, SAÚDE E AMBIENTE"	"A4"
"20422156"	"ENT & AUDIOLOGY NEWS"	"B3"
"17517575"	"ENTERPRISE INFORMATION SYSTEMS (PRINT)"	"A2"
"18759521"	"ENTERTAINMENT COMPUTING"	"A4"
"24466115"	"ENTHEORIA: CADERNOS DE LETRAS E HUMANAS"	"B4"
"19830572"	"ENTOMOBRASILIS (VASSOURAS)"	"B4"
"00138703"	"ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA (PRINT)"	"A3"
"01718177"	"ENTOMOLOGIA GENERALIS"	"A2"
"19475136"	"ENTOMOLOGICA AMERICANA (NEW YORK. PRINT)"	"A4"
"0013872X"	"ENTOMOLOGICAL NEWS"	"B3"
"13438786"	"ENTOMOLOGICAL SCIENCE (TOKYO)"	"A4"
"07239912"	"ENTOMOLOGISCHER VEREIN APOLLO. NACHRICHTEN"	"C"
"0013886X"	"ENTOMOLOGISK TIDSKRIFT (DOERBY)"	"B4"
"21610983"	"ENTOMOLOGY, ORNITHOLOGY & HERPETOLOGY"	"C"
"13175262"	"ENTOMOTROPICA"	"B3"
"16920074"	"ENTORNO GEOGRAFICO"	"C"
"18090338"	"ENTRE.MEIOS"	"C"
"25269496"	"ENTRE.MEIOS (ONLINE)"	"C"
"19255268"	"ENTREHOJAS - REVISTA DE ESTUDIOS HISPÁNICOS"	"B1"
"19804571"	"ENTRELACES (UFC)"	"B1"
"16451880"	"ENTRELETRAS"	"A4"
"18069509"	"ENTRELINHAS (UNISINOS. ONLINE)"	"B1"
"21793514"	"ENTREMEIOS"	"B1"
"22376321"	"ENTREPALAVRAS"	"A4"
"08985626"	"ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT"	"A1"
"97801902"	"ENTREPRENEURSHIP INDEX"	"C"
"20075316"	"ENTRETEXTOS"	"B4"
"15195392"	"ENTRETEXTOS (UEL)"	"B1"
"21756708"	"ENTREVISTA"	"NP"
"25262793"	"ENTROPIA"	"B3"
"10994300"	"ENTROPY (BASEL. ONLINE)"	"A4"
"2526110X"	"ENUNCIAÇÃO - REVISTA DO PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA DA UFFRJ"	"B2"
"01226339"	"ENUNCIACIÓN"	"A3"
"19447450"	"ENVIONMETAL PROGRESS & SUSTAINABLE ENERGY"	"A2"
"02658135"	"ENVIRONMENT & PLANNING. B, PLANNING & DESIGN (PRINT)"	"A1"
"1355770X"	"ENVIRONMENT AND DEVELOPMENT ECONOMICS (PRINT)"	"A2"
"23316268"	"ENVIRONMENT AND ECOLOGY RESEARCH (ONLINE)"	"C"
"19270496"	"ENVIRONMENT AND NATURAL RESOURCES RESEARCH"	"B2"
"14723409"	"ENVIRONMENT AND PLANNING A"	"A2"
"23998083"	"ENVIRONMENT AND PLANNING B: URBAN ANALYTICS AND CITY SCIENCE"	"A3"
"14723433"	"ENVIRONMENT AND PLANNING D: SOCIETY AND SPACE"	"A1"
"02637758"	"ENVIRONMENT AND PLANNING. D, SOCIETY & SPACE (PRINT)"	"A1"
"01604120"	"ENVIRONMENT INTERNATIONAL"	"A1"
"21945411"	"ENVIRONMENT SYSTEMS AND DECISION"	"A3"
"1387585X"	"ENVIRONMENT, DEVELOPMENT AND SUSTAINABILITY"	"A3"
"15732975"	"ENVIRONMENT, DEVELOPMENT AND SUSTAINABILITY"	"A3"
"13528505"	"ENVIRONMENTAL AND ECOLOGICAL STATISTICS"	"B3"
"00988472"	"ENVIRONMENTAL AND EXPERIMENTAL BOTANY"	"A1"
"10982280"	"ENVIRONMENTAL AND MOLECULAR MUTAGENESIS (ONLINE)"	"A3"
"08936692"	"ENVIRONMENTAL AND MOLECULAR MUTAGENESIS (PRINT)"	"A3"
"03781909"	"ENVIRONMENTAL BIOLOGY OF FISHES"	"A4"
"14482517"	"ENVIRONMENTAL CHEMISTRY (COLLINGWOOD. PRINT)"	"A2"
"16103661"	"ENVIRONMENTAL CHEMISTRY LETTERS"	"A2"
"16103653"	"ENVIRONMENTAL CHEMISTRY LETTERS (PRINT)"	"A2"
"03768929"	"ENVIRONMENTAL CONSERVATION"	"A2"
"22114645"	"ENVIRONMENTAL DEVELOPMENT"	"A1"
"18666280"	"ENVIRONMENTAL EARTH SCIENCES (PRINT)"	"A3"
"13504622"	"ENVIRONMENTAL EDUCATION RESEARCH"	"A1"
"14695871"	"ENVIRONMENTAL EDUCATION RESEARCH (ONLINE)"	"A1"
"15829596"	"ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL (PRINT)"	"A4"
"10928758"	"ENVIRONMENTAL ENGINEERING SCIENCE"	"C"
"0046225X"	"ENVIRONMENTAL ENTOMOLOGY"	"A3"
"02694042"	"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH"	"A2"
"2051803X"	"ENVIRONMENTAL GEOTECHNICS"	"A4"
"1476069X"	"ENVIRONMENTAL HEALTH (LONDON. 2002. ONLINE)"	"A1"
"00916765"	"ENVIRONMENTAL HEALTH PERSPECTIVES"	"A1"
"01959255"	"ENVIRONMENTAL IMPACT ASSESSMENT REVIEW"	"A1"
"09662030"	"ENVIRONMENTAL LIABILITY"	"C"
"0364152X"	"ENVIRONMENTAL MANAGEMENT (NEW YORK)"	"A2"
"21647682"	"ENVIRONMENTAL MANAGEMENT AND SUSTAINABLE DEVELOPMENT"	"C"
"14622912"	"ENVIRONMENTAL MICROBIOLOGY (PRINT)"	"A1"
"17582229"	"ENVIRONMENTAL MICROBIOLOGY REPORTS"	"A2"
"14202026"	"ENVIRONMENTAL MODELING & ASSESSMENT"	"A4"
"13648152"	"ENVIRONMENTAL MODELLING & SOFTWARE"	"A1"
"15732959"	"ENVIRONMENTAL MONITORING AND ASSESSMENT (DORDRECHT. ONLINE)"	"A2"
"01676369"	"ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT)"	"A2"
"22151532"	"ENVIRONMENTAL NANOTECHNOLOGY, MONITORING & MANAGEMENT"	"A3"
"17569338"	"ENVIRONMENTAL POLICY AND GOVERNANCE"	"A2"
"02697491"	"ENVIRONMENTAL POLLUTION (1987)"	"A1"
"15660745"	"ENVIRONMENTAL POLLUTION (LONDON)"	"B4"
"2573458X"	"ENVIRONMENTAL POLLUTION AND CLIMATE CHANGE"	"C"
"25191055"	"ENVIRONMENTAL POLLUTION AND PROTECTION"	"C"
"21987491"	"ENVIRONMENTAL PROCESSES"	"A3"
"19447442"	"ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY (PRINT)"	"A2"
"15206483"	"ENVIRONMENTAL QUALITY MANAGEMENT"	"A3"
"10881913"	"ENVIRONMENTAL QUALITY MANAGEMENT (PRINT)"	"A3"
"00139351"	"ENVIRONMENTAL RESEARCH (NEW YORK, N.Y. PRINT)"	"A1"
"19353049"	"ENVIRONMENTAL RESEARCH JOURNAL"	"B4"
"17489326"	"ENVIRONMENTAL RESEARCH LETTERS"	"A1"
"25266802"	"ENVIRONMENTAL RESEARCH SCIENCE & TECHNOLOGY"	"C"
"12086053"	"ENVIRONMENTAL REVIEWS"	"A2"
"11818700"	"ENVIRONMENTAL REVIEWS (PRINT)"	"A2"
"14629011"	"ENVIRONMENTAL SCIENCE & POLICY"	"A1"
"0013936X"	"ENVIRONMENTAL SCIENCE & TECHNOLOGY"	"A1"
"09441344"	"ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL"	"A2"
"20518153"	"ENVIRONMENTAL SCIENCE: NANO"	"A1"
"20507887"	"ENVIRONMENTAL SCIENCE: PROCESSES & IMPACTS"	"A2"
"21904715"	"ENVIRONMENTAL SCIENCES EUROPE"	"A2"
"09668411"	"ENVIRONMENTAL SCIENTIST"	"C"
"25955527"	"ENVIRONMENTAL SMOKE"	"C"
"09593330"	"ENVIRONMENTAL TECHNOLOGY"	"A2"
"23521864"	"ENVIRONMENTAL TECHNOLOGY & INNOVATION"	"A3"
"21622515"	"ENVIRONMENTAL TECHNOLOGY REVIEWS"	"C"
"15204081"	"ENVIRONMENTAL TOXICOLOGY (PRINT)"	"A2"
"07307268"	"ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY"	"A2"
"13826689"	"ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY"	"A2"
"07116780"	"ENVIRONMENTS (WATERLOO)"	"C"
"16147499"	"ENVIRONMETAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL (INTERNET)"	"A2"
"1099095X"	"ENVIRONMETRICS (LONDON, ONT. ONLINE)"	"A3"
"11804009"	"ENVIRONMETRICS (LONDON. ONT.)"	"A3"
"01410229"	"ENZYME AND MICROBIAL TECHNOLOGY"	"A2"
"20900414"	"ENZYME RESEARCH (ONLINE)"	"A3"
"25269798"	"EOFTALMO (ONLINE)"	"B4"
"23593962"	"E-OFTALMO.CBO: REVISTA DIGITAL DE OFTALMOLOGIA"	"C"
"22716386"	"EOLLES"	"B2"
"23249250"	"EOS TRANSACTIONS"	"NP"
"21761833"	"EPEQ FAFIBE"	"B4"
"14732866"	"EPHEMERA (ONLINE)"	"A1"
"25162330"	"EPIC SERIES IN ENGINEERING"	"B2"
"17554365"	"EPIDEMICS"	"A1"
"11209763"	"EPIDEMIOLOGIA E PREVENZIONE"	"B2"
"22379622"	"EPIDEMIOLOGIA E SERVIÇOS DE SAÚDE"	"B2"
