nome	issn1	issn2
Brazilian Journal of Nephrology	01012800	21758239
Brazilian Journal of Oceanography	16798759	1982436X
Brazilian Journal of Otorhinolaryngology	18088694	18088686
Brazilian Journal of Pharmaceutical Sciences	21759790	NA
Brazilian Journal of Political Economy	01013157	18094538
Brazilian Journal of Poultry Science	1516635X	18069061
Brazilian Journal of Psychiatry	15164446	1809452X
Brazilian Oral Research	18068324	18073107
Brazilian Political Science Review	19813821	NA
BrJP	25950118	25953192
Caderno CRH	01034979	19838239
Cadernos Brasileiros de Terapia Ocupacional	25268910	NA
Cadernos CEDES	01013262	16787110
Cadernos de Pesquisa	01001574	19805314
Cadernos de Saúde Pública	0102311X	16784464
Cadernos de Tradução	1414526X	21757968
Cadernos EBAPE.BR	16793951	NA
Cadernos Metrópole	15172422	22369996
Cadernos Nietzsche	14137755	23168242
Cadernos Pagu	01048333	18094449
Cadernos Saúde Coletiva	1414462X	2358291X
Cerâmica	03666913	16784553
CERNE	01047760	23176342
Ciência & Educação (Bauru)	15167313	1980850X
Ciência & Saúde Coletiva	14138123	16784561
Ciência Animal Brasileira	15182797	18096891
Ciência e Agrotecnologia	14137054	19811829
Ciência Florestal	01039954	19805098
Ciência Rural	01038478	16784596
Civitas - Revista de Ciências Sociais	15196089	19847289
Clinics	18075932	19805322
CoDAS	23171782	NA
Contexto Internacional	01028529	19820240
Crop Breeding and Applied Biotechnology	15187853	19847033
Dados - Revista de Ciências Sociais	00115258	16784588
DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada	01024450	1678460X
Dementia & Neuropsychologia	19805764	19805764
Dental Press Journal of Orthodontics	21769451	21776709
Economia e Sociedade	01040618	19823533
Educação & Realidade	01003143	21756236
Educação & Sociedade	01017330	16784626
Educação e Pesquisa	15179702	16784634
Educação em Revista	01024698	19826621
Educar em Revista	01044060	19840411
Einstein (São Paulo)	16794508	23176385
Engenharia Agrícola	01006916	18094430
Engenharia Sanitaria e Ambiental	14134152	18094457
Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)	14152150	19832117
Ensaio: Avaliação e Políticas Públicas em Educação	01044036	18094465
Epidemiologia e Serviços de Saúde	16794974	22379622
Escola Anna Nery	14148145	21779465
Estudos Avançados	01034014	18069592
Estudos de Literatura Brasileira Contemporânea	15180158	23164018
Estudos de Psicologia (Campinas)	0103166X	19820275
Estudos Econômicos (São Paulo)	01014161	19805357
Estudos Históricos (Rio de Janeiro)	01032186	21781494
Fisioterapia e Pesquisa	18092950	23169117
Fisioterapia em Movimento	19805918	NA
Floresta e Ambiente	14150980	21798087
Food Science and Technology	01012061	1678457X
Fractal: Revista de Psicologia	19840292	NA
Galáxia (São Paulo)	1519311X	19822553
Genetics and Molecular Biology	14154757	16784685
Gestão & Produção	0104530X	18069649
Hematology, Transfusion and Cell Therapy	25311379	NA
História (São Paulo)	01019074	19804369
História da Educação	14143518	22363459
História, Ciências, Saúde-Manguinhos	01045970	16784758
Hoehnea	00732877	22368906
Horizontes Antropológicos	01047183	18069983
Horticultura Brasileira	01020536	18069991
Iheringia. Série Zoologia	00734721	16784766
Ilha do Desterro	01014846	21758026
Interações (Campo Grande)	15187012	1984042X
Intercom: Revista Brasileira de Ciências da Comunicação	18095844	19803508
Interface - Comunicação, Saúde, Educação	14143283	18075762
International Archives of Otorhinolaryngology	18099777	18094864
International braz j urol	16775538	16776119
International Journal of Cardiovascular Sciences	23594802	23595647
JISTEM - Journal of Information Systems and Technology Management	18071775	NA
Jornal Brasileiro de Patologia e Medicina Laboratorial	16762444	16784774
Jornal Brasileiro de Pneumologia	18063713	18063756
Jornal Brasileiro de Psiquiatria	00472085	19820208
Jornal de Pediatria	00217557	16784782
Jornal Vascular Brasileiro	16775449	16777301
Journal of Aerospace Technology and Management	21759146	NA
